epoch: 1, train_loss: 0.19464, train_acc: 0.45, test_loss: 0.21946, test_acc: 0.42
epoch: 2, train_loss: 0.19214, train_acc: 0.48, test_loss: 0.21505, test_acc: 0.44
epoch: 3, train_loss: 0.19025, train_acc: 0.47, test_loss: 0.21299, test_acc: 0.47
epoch: 4, train_loss: 0.18706, train_acc: 0.55, test_loss: 0.21345, test_acc: 0.49
epoch: 5, train_loss: 0.18464, train_acc: 0.53, test_loss: 0.21166, test_acc: 0.48
epoch: 6, train_loss: 0.18173, train_acc: 0.56, test_loss: 0.20483, test_acc: 0.54
epoch: 7, train_loss: 0.17854, train_acc: 0.60, test_loss: 0.20995, test_acc: 0.58
epoch: 8, train_loss: 0.17706, train_acc: 0.63, test_loss: 0.20448, test_acc: 0.56
epoch: 9, train_loss: 0.17604, train_acc: 0.68, test_loss: 0.20437, test_acc: 0.64
epoch: 10, train_loss: 0.17656, train_acc: 0.66, test_loss: 0.20334, test_acc: 0.69
epoch: 11, train_loss: 0.17207, train_acc: 0.70, test_loss: 0.19654, test_acc: 0.70
epoch: 12, train_loss: 0.17201, train_acc: 0.73, test_loss: 0.19602, test_acc: 0.70
epoch: 13, train_loss: 0.17017, train_acc: 0.72, test_loss: 0.19501, test_acc: 0.71
epoch: 14, train_loss: 0.16835, train_acc: 0.78, test_loss: 0.19212, test_acc: 0.75
epoch: 15, train_loss: 0.16810, train_acc: 0.74, test_loss: 0.19294, test_acc: 0.72
epoch: 16, train_loss: 0.16729, train_acc: 0.75, test_loss: 0.19196, test_acc: 0.69
epoch: 17, train_loss: 0.16618, train_acc: 0.75, test_loss: 0.18941, test_acc: 0.70
epoch: 18, train_loss: 0.16526, train_acc: 0.77, test_loss: 0.19002, test_acc: 0.72
epoch: 19, train_loss: 0.16550, train_acc: 0.81, test_loss: 0.18742, test_acc: 0.73
epoch: 20, train_loss: 0.16432, train_acc: 0.82, test_loss: 0.18653, test_acc: 0.75
epoch: 21, train_loss: 0.16638, train_acc: 0.76, test_loss: 0.18432, test_acc: 0.75
epoch: 22, train_loss: 0.16377, train_acc: 0.77, test_loss: 0.18210, test_acc: 0.72
epoch: 23, train_loss: 0.16242, train_acc: 0.75, test_loss: 0.18015, test_acc: 0.78
epoch: 24, train_loss: 0.16115, train_acc: 0.78, test_loss: 0.17902, test_acc: 0.78
epoch: 25, train_loss: 0.16112, train_acc: 0.79, test_loss: 0.17839, test_acc: 0.73
epoch: 26, train_loss: 0.16193, train_acc: 0.80, test_loss: 0.17821, test_acc: 0.78
epoch: 27, train_loss: 0.16026, train_acc: 0.82, test_loss: 0.17531, test_acc: 0.90
epoch: 28, train_loss: 0.15949, train_acc: 0.80, test_loss: 0.17421, test_acc: 0.91
epoch: 29, train_loss: 0.15902, train_acc: 0.81, test_loss: 0.17126, test_acc: 0.87
epoch: 30, train_loss: 0.15873, train_acc: 0.76, test_loss: 0.17074, test_acc: 0.69
epoch: 31, train_loss: 0.15874, train_acc: 0.78, test_loss: 0.17025, test_acc: 0.73
epoch: 32, train_loss: 0.15603, train_acc: 0.79, test_loss: 0.16937, test_acc: 0.73
epoch: 33, train_loss: 0.15493, train_acc: 0.77, test_loss: 0.16985, test_acc: 0.75
epoch: 34, train_loss: 0.15468, train_acc: 0.82, test_loss: 0.16903, test_acc: 0.76
epoch: 35, train_loss: 0.15431, train_acc: 0.85, test_loss: 0.16835, test_acc: 0.73
epoch: 36, train_loss: 0.15345, train_acc: 0.80, test_loss: 0.16752, test_acc: 0.80
epoch: 37, train_loss: 0.15294, train_acc: 0.81, test_loss: 0.16689, test_acc: 0.80
epoch: 38, train_loss: 0.15369, train_acc: 0.83, test_loss: 0.16573, test_acc: 0.75
epoch: 39, train_loss: 0.15021, train_acc: 0.76, test_loss: 0.16501, test_acc: 0.78
epoch: 40, train_loss: 0.15001, train_acc: 0.78, test_loss: 0.16463, test_acc: 0.60
epoch: 41, train_loss: 0.14881, train_acc: 0.79, test_loss: 0.16251, test_acc: 0.73
epoch: 42, train_loss: 0.14827, train_acc: 0.79, test_loss: 0.16019, test_acc: 0.72
epoch: 43, train_loss: 0.14739, train_acc: 0.81, test_loss: 0.15982, test_acc: 0.59
epoch: 44, train_loss: 0.14554, train_acc: 0.88, test_loss: 0.15821, test_acc: 0.80
epoch: 45, train_loss: 0.14521, train_acc: 0.83, test_loss: 0.15724, test_acc: 0.80
epoch: 46, train_loss: 0.14436, train_acc: 0.83, test_loss: 0.15522, test_acc: 0.78
epoch: 47, train_loss: 0.14343, train_acc: 0.82, test_loss: 0.15152, test_acc: 0.79
epoch: 48, train_loss: 0.14214, train_acc: 0.79, test_loss: 0.15015, test_acc: 0.80
epoch: 49, train_loss: 0.14196, train_acc: 0.80, test_loss: 0.14952, test_acc: 0.76
epoch: 50, train_loss: 0.14042, train_acc: 0.80, test_loss: 0.14872, test_acc: 0.78
